mission,mega,scenario,mcc_group,seed_source,needs_review
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Завтрак выходного дня,Готовлю дома,Завтрак выходного дня,Продуктовые магазины,mega_homogeneous,false
Дом и быт → Пополнение запасов,Дом и быт,Пополнение запасов,Товары для дома,heuristic,false
Гости и праздник → Гости через час,Гости и праздник,Гости через час,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Завтрак буднего дня,Готовлю дома,Завтрак буднего дня,Продуктовые магазины,mega_homogeneous,false
Дети → После школы,Дети,После школы,Продуктовые магазины,heuristic,true
Гости и праздник → Вечеринка дома,Гости и праздник,Вечеринка дома,Продуктовые магазины,mega_homogeneous,false
Пикник и отдых → Автопутешествие,Пикник и отдых,Автопутешествие,Продуктовые магазины,heuristic,false
Готовая еда → Готовая еда,Готовая еда,Готовая еда,Продуктовые магазины,mega_homogeneous,false
Дача → Выходные на даче,Дача,Выходные на даче,Продуктовые магазины,heuristic,true
Гости и праздник → Смотрим матч,Гости и праздник,Смотрим матч,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Ужин для семьи,Готовлю дома,Ужин для семьи,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Перекус дома,Готовлю дома,Перекус дома,Продуктовые магазины,mega_homogeneous,false
Дача → Шашлыки,Дача,Шашлыки,Продуктовые магазины,heuristic,true
Готовлю дома → Быстрый ужин из полуфабрикатов,Готовлю дома,Быстрый ужин из полуфабрикатов,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → Семейный ужин,Гости и праздник,Семейный ужин,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → Хэллоуин дома,Гости и праздник,Хэллоуин дома,Продуктовые магазины,mega_homogeneous,false
Дети → Каникулы дома,Дети,Каникулы дома,Игрушки,heuristic,true
Гости и праздник → Просмотр фильма,Гости и праздник,Просмотр фильма,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Праздничная выпечка,Готовлю дома,Праздничная выпечка,Продуктовые магазины,mega_homogeneous,false
Авто → Автопутешествие с семьёй,Авто,Автопутешествие с семьёй,Автотовары,mega_homogeneous,false
Гости и праздник → Детский праздник,Гости и праздник,Детский праздник,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Ужин на двоих,Готовлю дома,Ужин на двоих,Продуктовые магазины,mega_homogeneous,false
Дети → День рождения ребенка,Дети,День рождения ребенка,Игрушки,manual_override,false
Готовлю дома → Выпечка с детьми,Готовлю дома,Выпечка с детьми,Продуктовые магазины,mega_homogeneous,false
Эмоции → Утешение сладким,Эмоции,Утешение сладким,Продуктовые магазины,heuristic,true
Здоровье → Восстановление после болезни,Здоровье,Восстановление после болезни,Аптеки,mega_homogeneous,false
Пикник и отдых → Поездка на природу,Пикник и отдых,Поездка на природу,Продуктовые магазины,heuristic,false
Эмоции → Кино дома,Эмоции,Кино дома,Продуктовые магазины,heuristic,true
Дача → Летний завтрак на веранде,Дача,Летний завтрак на веранде,Продуктовые магазины,heuristic,true
Готовлю дома → Пасхальный завтрак,Готовлю дома,Пасхальный завтрак,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Готовка на несколько дней,Готовлю дома,Готовка на несколько дней,Продуктовые магазины,mega_homogeneous,false
Дача → Первая поездка весной,Дача,Первая поездка весной,Продуктовые магазины,heuristic,true
Гости и праздник → Новый год,Гости и праздник,Новый год,Продуктовые магазины,mega_homogeneous,false
Работа и учеба → Ночная смена / дедлайн,Работа и учеба,Ночная смена / дедлайн,Продуктовые магазины,heuristic,true
Гостиная → Домашний кинотеатр,Гостиная,Домашний кинотеатр,Бытовая техника и электроника,manual_override,false
Пикник и отдых → Отдых на пляже,Пикник и отдых,Отдых на пляже,Продуктовые магазины,heuristic,false
Готовлю дома → Заморозка заготовок,Готовлю дома,Заморозка заготовок,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → 23 февраля,Гости и праздник,23 февраля,Продуктовые магазины,mega_homogeneous,false
Дети → Полдник ребёнка,Дети,Полдник ребёнка,Продуктовые магазины,heuristic,true
Эмоции → Побаловать себя,Эмоции,Побаловать себя,Косметика,manual_override,false
Гости и праздник → Утро 1 января,Гости и праздник,Утро 1 января,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → Масленица,Гости и праздник,Масленица,Продуктовые магазины,mega_homogeneous,false
Работа и учеба → Перекус на работе,Работа и учеба,Перекус на работе,Продуктовые магазины,heuristic,true
Гости и праздник → День рождения взрослого,Гости и праздник,День рождения взрослого,Продуктовые магазины,mega_homogeneous,false
Дача → Подготовка дачи к сезону,Дача,Подготовка дачи к сезону,Товары для дома,heuristic,true
Работа и учеба → Командировка,Работа и учеба,Командировка,Продуктовые магазины,heuristic,true
Пикник и отдых → Рыбалка,Пикник и отдых,Рыбалка,Продуктовые магазины,heuristic,false
Гости и праздник → Пасха,Гости и праздник,Пасха,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → Настольные игры,Гости и праздник,Настольные игры,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → Пасхальный стол,Гости и праздник,Пасхальный стол,Продуктовые магазины,mega_homogeneous,false
Гости и праздник → Оливье и новогодний стол,Гости и праздник,Оливье и новогодний стол,Продуктовые магазины,mega_homogeneous,false
Готовлю дома → Смузи и здоровые напитки,Готовлю дома,Смузи и здоровые напитки,Продуктовые магазины,mega_homogeneous,false
Пикник и отдых → Тренировка / фитнес,Пикник и отдых,Тренировка / фитнес,Спортивные товары,manual_override,false
Малыши → Кормление малыша,Малыши,Кормление малыша,Продуктовые магазины,manual_override,false
Готовлю дома → Кофейный ритуал,Готовлю дома,Кофейный ритуал,Продуктовые магазины,mega_homogeneous,false
Эмоции → Вечер с книгой,Эмоции,Вечер с книгой,Книжные магазины,manual_override,false
Малыши → Прогулка с малышом,Малыши,Прогулка с малышом,Одежда детская,heuristic,true
Работа и учеба → Экзамены,Работа и учеба,Экзамены,Канцтовары,heuristic,true
Дача → Закрытие сезона,Дача,Закрытие сезона,Товары для дома,heuristic,true
Работа и учеба → Работа из дома,Работа и учеба,Работа из дома,Канцтовары,heuristic,true
